"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"627",-870639.653779657,1502956.33333333,-2.22901287474323,0.0482519011944849,0.622538769009549,-4.59511984934969
"638",803604.136622124,5133214.83333333,0.309618931670666,0.76279569268932,0.999964564224971,-4.59511985039917
"596",-17147.410551723,494329.166666667,-0.0883516195564198,0.931228779122024,0.999964564224971,-4.59511985042449
"635",525555.480847363,3140034.75,0.357167864047941,0.727909230134151,0.999964564224971,-4.59511985039259
"658",114911.666666667,2218444.16666667,0.096971630924175,0.924541059322869,0.999964564224971,-4.59511985043181
"611",-49774.0000000002,677381.166666667,-0.127511090080875,0.900900200733542,0.999964564224971,-4.59511985042956
"617",-181828.343931822,1213477.16666667,-0.346758138233262,0.735495053178928,0.999964564224971,-4.59511985038134
"644",408.002040630391,735017,0.00118408338786982,0.999077021205143,0.999964564224971,-4.59511985042766
"616",-3757685.66145755,13555870.9166667,-1.11558887021974,0.289021322227142,0.912573300049572,-4.59511985007454
"657",117592.112135179,2278496.66666667,0.224706515934147,0.82644018900334,0.999964564224971,-4.5951198503845
"668",-54497.7772776226,456145,-0.287489011447795,0.779228231004472,0.999964564224971,-4.59511985039984
"652",133241.745364421,957571.333333333,0.290608251920801,0.776904972289296,0.999964564224971,-4.59511985040337
"689",-34813.0184612793,468235.583333333,-0.373947419596861,0.715745898462659,0.999964564224971,-4.59511985037319
"721",5992109.18688774,30255978.3333333,0.835090672983772,0.421917912171771,0.999964564224971,-4.59511985021682
"713",4196795.7496849,12258855.75,1.35990409227021,0.201818992669906,0.849414002116196,-4.5951198499273
"732",-179832,1067931.5,-0.42110860949593,0.682008467104711,0.999964564224971,-4.59511985037762
